timestamp,V,A,W,Wh
2026-04-09T21:39:23.781610,0.0,0.0,0.0,0.0
2026-04-09T21:39:23.781610,234.7005,0.0,0.0,0.0
2026-04-09T21:39:23.836616,234.7005,0.025097,0.0,0.0
2026-04-09T21:39:23.862623,234.7005,0.025097,3.010514,0.0
2026-04-09T21:39:23.862623,234.7005,0.025097,3.010514,2.605098
2026-04-09T21:39:23.905320,234.7005,0.025097,3.010514,2.605098
2026-04-09T21:39:23.905320,234.7005,0.025097,3.010514,2.605098
2026-04-09T21:39:24.597225,234.7005,0.025097,3.010514,2.605098
2026-04-09T21:39:24.597225,234.7005,0.025097,3.010514,2.605098
2026-04-09T21:39:24.597225,234.7005,0.025097,3.010514,2.605432
2026-04-09T21:39:24.637234,234.7005,0.050193,3.010514,2.605432
2026-04-09T21:39:24.637234,234.7005,0.050193,3.010514,2.605432
2026-04-09T21:39:25.029943,234.7005,0.050193,3.010514,2.605767
2026-04-09T21:39:25.029943,234.7005,0.050193,3.010514,2.605767
2026-04-09T21:39:25.029943,234.7005,0.050193,3.010514,2.605767
2026-04-09T21:39:25.424640,234.7005,0.050193,3.010514,2.606101
2026-04-09T21:39:25.424640,234.7005,0.050193,3.010514,2.606101
2026-04-09T21:39:25.814433,234.7005,0.050193,3.010514,2.606101
2026-04-09T21:39:25.814433,234.7005,0.050193,3.010514,2.606436
2026-04-09T21:39:26.220631,234.7005,0.025097,3.010514,2.606436
2026-04-09T21:39:26.220631,234.7005,0.025097,3.010514,2.606436
2026-04-09T21:39:26.220631,234.7005,0.025097,3.010514,2.60677
2026-04-09T21:39:26.609633,234.7005,0.050193,3.010514,2.60677
2026-04-09T21:39:26.609633,234.7005,0.050193,3.010514,2.60677
2026-04-09T21:39:26.609633,234.7005,0.050193,3.010514,2.607105
2026-04-09T21:39:27.015853,234.7005,0.050193,3.010514,2.607105
2026-04-09T21:39:27.015853,234.7005,0.050193,3.010514,2.607439
2026-04-09T21:39:27.413470,235.495,0.050193,3.010514,2.607439
2026-04-09T21:39:27.413470,235.495,0.050193,3.010514,2.607439
2026-04-09T21:39:27.413470,235.495,0.050193,3.010514,2.607774
2026-04-09T21:39:27.467877,235.495,0.050193,3.010514,2.607774
2026-04-09T21:39:27.467877,235.495,0.050193,3.010514,2.607774
2026-04-09T21:39:27.883475,235.495,0.050193,3.010514,2.608108
2026-04-09T21:39:27.884475,235.8128,0.050193,3.010514,2.608108
2026-04-09T21:39:28.239886,235.8128,0.050193,3.010514,2.608108
2026-04-09T21:39:28.239886,235.8128,0.050193,3.010514,2.608443
2026-04-09T21:39:28.239886,236.4485,0.050193,3.010514,2.608443
2026-04-09T21:39:28.637322,236.4485,0.050193,6.021027,2.608443
2026-04-09T21:39:28.637322,236.4485,0.050193,6.021027,2.609112
2026-04-09T21:39:29.020364,235.1772,0.050193,6.021027,2.609112
2026-04-09T21:39:29.020364,235.1772,0.050193,3.010514,2.609112
2026-04-09T21:39:29.020364,235.1772,0.050193,3.010514,2.609446
2026-04-09T21:39:29.436157,235.1772,0.050193,3.010514,2.609446
2026-04-09T21:39:29.436157,235.1772,0.050193,3.010514,2.609781
2026-04-09T21:39:29.827502,235.1772,0.050193,3.010514,2.609781
2026-04-09T21:39:29.827502,235.1772,0.050193,3.010514,2.609781
2026-04-09T21:39:29.828058,235.1772,0.050193,3.010514,2.610115
2026-04-09T21:39:29.871638,235.1772,0.050193,3.010514,2.610115
2026-04-09T21:39:29.871638,235.1772,0.050193,3.010514,2.610115
2026-04-09T21:39:30.260125,235.1772,0.050193,3.010514,2.61045
2026-04-09T21:39:30.260467,235.1772,0.050193,3.010514,2.61045
2026-04-09T21:39:30.260467,235.1772,0.050193,3.010514,2.61045
2026-04-09T21:39:30.660268,235.1772,0.050193,3.010514,2.610784
2026-04-09T21:39:30.660268,235.1772,0.025097,3.010514,2.610784
2026-04-09T21:39:31.047401,235.1772,0.025097,3.010514,2.610784
2026-04-09T21:39:31.047401,235.1772,0.025097,3.010514,2.611119
2026-04-09T21:39:31.444846,235.1772,0.050193,3.010514,2.611119
2026-04-09T21:39:31.445473,235.1772,0.050193,3.010514,2.611119
2026-04-09T21:39:31.445473,235.1772,0.050193,3.010514,2.611453
2026-04-09T21:39:31.856773,235.1772,0.050193,3.010514,2.611453
2026-04-09T21:39:31.857773,235.1772,0.050193,3.010514,2.611788
2026-04-09T21:39:32.248232,237.8786,0.050193,3.010514,2.611788
2026-04-09T21:39:32.248636,237.8786,0.050193,3.010514,2.611788
2026-04-09T21:39:32.248636,237.8786,0.050193,3.010514,2.612122
2026-04-09T21:39:32.647909,234.2238,0.050193,3.010514,2.612122
2026-04-09T21:39:32.647909,234.2238,0.050193,84.29438,2.612122
2026-04-09T21:39:32.647909,234.2238,0.050193,84.29438,2.621488
2026-04-09T21:39:32.710042,234.0649,0.050193,84.29438,2.621488
2026-04-09T21:39:32.710042,234.0649,0.050193,114.3995,2.621488
2026-04-09T21:39:33.082937,234.0649,0.050193,114.3995,2.634199
2026-04-09T21:39:33.082937,237.0841,0.050193,114.3995,2.634199
2026-04-09T21:39:33.477484,237.0841,0.050193,102.3575,2.634199
2026-04-09T21:39:33.477484,237.0841,0.050193,102.3575,2.645572
2026-04-09T21:39:33.477484,234.5416,0.050193,102.3575,2.645572
2026-04-09T21:39:33.889795,234.5416,0.050193,96.33643,2.645572
2026-04-09T21:39:33.889795,234.5416,0.050193,96.33643,2.656276
2026-04-09T21:39:34.273782,234.5416,0.050193,96.33643,2.656276
2026-04-09T21:39:34.273782,234.5416,0.050193,96.33643,2.666981
2026-04-09T21:39:34.273782,234.5416,0.45174,96.33643,2.666981
2026-04-09T21:39:34.670447,234.5416,0.45174,93.32592,2.666981
2026-04-09T21:39:34.670447,234.5416,0.45174,93.32592,2.67735
2026-04-09T21:39:35.070097,234.5416,0.45174,93.32592,2.67735
2026-04-09T21:39:35.071097,234.5416,0.45174,96.33643,2.67735
2026-04-09T21:39:35.071097,234.5416,0.45174,96.33643,2.688054
