timestamp,V,A,W,Wh
2026-04-08T17:35:24.060820,0.0,0.0,0.0,0.0
2026-04-08T17:35:24.100256,235.495,0.0,0.0,0.0
2026-04-08T17:35:24.100391,235.495,0.025097,0.0,0.0
2026-04-08T17:35:24.100453,235.495,0.025097,3.010514,0.0
2026-04-08T17:35:24.160340,235.495,0.025097,3.010514,0.054858
2026-04-08T17:35:24.160500,235.495,0.025097,3.010514,0.054858
2026-04-08T17:35:24.160582,235.495,0.025097,3.010514,0.054858
2026-04-08T17:35:24.348053,235.495,0.025097,3.010514,0.054858
2026-04-08T17:35:24.348251,235.495,0.025097,0.0,0.054858
2026-04-08T17:35:24.829146,235.495,0.025097,0.0,0.054858
2026-04-08T17:35:24.829331,235.495,0.025097,0.0,0.054858
2026-04-08T17:35:25.140165,236.6074,0.025097,0.0,0.054858
2026-04-08T17:35:25.140345,236.6074,0.025097,3.010514,0.054858
2026-04-08T17:35:25.140444,236.6074,0.025097,3.010514,0.055193
2026-04-08T17:35:25.204046,238.9909,0.025097,3.010514,0.055193
2026-04-08T17:35:25.204164,238.9909,0.025097,3.010514,0.055193
2026-04-08T17:35:25.204225,238.9909,0.025097,3.010514,0.055527
2026-04-08T17:35:25.649118,236.7663,0.025097,3.010514,0.055527
2026-04-08T17:35:25.649302,236.7663,0.025097,0.0,0.055527
2026-04-08T17:35:25.976110,236.7663,0.025097,0.0,0.055527
2026-04-08T17:35:25.976262,236.1307,0.025097,0.0,0.055527
2026-04-08T17:35:26.367994,236.1307,0.025097,3.010514,0.055527
2026-04-08T17:35:26.368207,236.1307,0.025097,3.010514,0.055862
2026-04-08T17:35:26.753113,237.8786,0.025097,3.010514,0.055862
2026-04-08T17:35:26.753239,237.8786,0.025097,0.0,0.055862
2026-04-08T17:35:26.753303,237.8786,0.025097,0.0,0.055862
2026-04-08T17:35:27.136800,237.8786,0.025097,3.010514,0.055862
2026-04-08T17:35:27.136949,237.8786,0.025097,3.010514,0.056196
2026-04-08T17:35:27.183891,237.8786,0.025097,3.010514,0.056196
2026-04-08T17:35:27.184027,237.8786,0.025097,3.010514,0.056196
2026-04-08T17:35:27.184090,237.8786,0.025097,3.010514,0.056196
2026-04-08T17:35:27.574925,237.8786,0.025097,3.010514,0.056531
2026-04-08T17:35:27.575053,237.8786,0.050193,3.010514,0.056531
2026-04-08T17:35:28.002918,237.8786,0.050193,3.010514,0.056531
2026-04-08T17:35:28.003100,237.8786,0.050193,3.010514,0.056865
2026-04-08T17:35:28.352428,237.8786,0.025097,3.010514,0.056865
2026-04-08T17:35:28.352551,237.8786,0.025097,3.010514,0.056865
2026-04-08T17:35:28.352612,237.8786,0.025097,3.010514,0.0572
2026-04-08T17:35:28.822856,237.8786,0.050193,3.010514,0.0572
2026-04-08T17:35:28.823076,237.8786,0.050193,3.010514,0.0572
2026-04-08T17:35:28.823181,237.8786,0.050193,3.010514,0.057534
2026-04-08T17:35:28.823403,237.8786,5.14482,3.010514,0.057534
2026-04-08T17:35:28.823522,237.8786,5.14482,1131.953,0.057534
2026-04-08T17:35:29.642169,237.8786,5.14482,1131.953,0.183307
2026-04-08T17:35:29.642313,237.8786,5.14482,1336.668,0.183307
2026-04-08T17:35:29.642379,237.8786,5.14482,1336.668,0.331825
2026-04-08T17:35:29.642576,232.7937,5.14482,1336.668,0.331825
2026-04-08T17:35:29.642641,232.7937,5.14482,1339.678,0.331825
2026-04-08T17:35:30.001298,232.7937,5.14482,1339.678,0.480679
2026-04-08T17:35:30.001457,232.7937,5.14482,1339.678,0.480679
