timestamp,V,A,W,Wh
2026-04-12T15:28:46.965375,0.0,0.0,0.0,0.0
2026-04-12T15:28:46.973170,239.3087,0.0,0.0,0.0
2026-04-12T15:28:46.973262,239.3087,0.050193,0.0,0.0
2026-04-12T15:28:46.973354,239.3087,0.050193,3.010514,0.0
2026-04-12T15:28:46.973398,239.3087,0.050193,3.010514,0.136811
2026-04-12T15:28:47.067089,239.3087,0.050193,3.010514,0.136811
2026-04-12T15:28:47.067179,239.3087,0.050193,3.010514,0.136811
2026-04-12T15:28:47.734568,239.3087,0.050193,3.010514,0.136811
2026-04-12T15:28:47.734674,239.3087,0.050193,3.010514,0.136811
2026-04-12T15:28:47.734719,239.3087,0.050193,3.010514,0.137146
2026-04-12T15:28:47.734826,239.3087,0.050193,3.010514,0.137146
2026-04-12T15:28:47.734858,239.3087,0.050193,3.010514,0.137146
2026-04-12T15:28:48.175622,239.3087,0.050193,3.010514,0.13748
2026-04-12T15:28:48.175695,239.3087,0.025097,3.010514,0.13748
2026-04-12T15:28:48.175725,239.3087,0.025097,3.010514,0.13748
2026-04-12T15:28:48.516173,239.3087,0.025097,3.010514,0.137815
2026-04-12T15:28:48.516269,239.3087,0.025097,3.010514,0.137815
2026-04-12T15:28:48.952868,239.3087,0.025097,3.010514,0.137815
2026-04-12T15:28:48.952989,239.3087,0.025097,3.010514,0.138149
2026-04-12T15:28:49.383274,239.3087,0.025097,3.010514,0.138149
2026-04-12T15:28:49.383365,239.3087,0.025097,3.010514,0.138149
2026-04-12T15:28:49.383405,239.3087,0.025097,3.010514,0.138484
2026-04-12T15:28:49.708555,239.3087,0.050193,3.010514,0.138484
2026-04-12T15:28:49.708624,239.3087,0.050193,3.010514,0.138484
2026-04-12T15:28:49.708653,239.3087,0.050193,3.010514,0.138818
2026-04-12T15:28:50.110230,239.3087,0.050193,3.010514,0.138818
2026-04-12T15:28:50.110355,239.3087,0.050193,3.010514,0.139153
2026-04-12T15:28:50.229062,238.0375,0.050193,3.010514,0.139153
2026-04-12T15:28:50.229152,238.0375,0.050193,3.010514,0.139153
2026-04-12T15:28:50.229228,238.0375,0.050193,3.010514,0.139487
2026-04-12T15:28:50.991199,239.3087,0.050193,3.010514,0.139487
2026-04-12T15:28:50.991277,239.3087,0.050193,3.010514,0.139487
2026-04-12T15:28:50.991320,239.3087,0.050193,3.010514,0.139822
2026-04-12T15:28:50.991422,237.7197,0.050193,3.010514,0.139822
2026-04-12T15:28:50.991467,237.7197,0.050193,3.010514,0.139822
2026-04-12T15:28:51.333027,237.7197,0.050193,3.010514,0.140156
2026-04-12T15:28:51.333110,239.3087,0.050193,3.010514,0.140156
2026-04-12T15:28:51.761270,239.3087,0.050193,3.010514,0.140156
2026-04-12T15:28:51.761350,239.3087,0.050193,3.010514,0.140491
2026-04-12T15:28:51.761406,241.5334,0.050193,3.010514,0.140491
2026-04-12T15:28:52.203127,241.5334,0.050193,3.010514,0.140491
2026-04-12T15:28:52.203199,241.5334,0.050193,3.010514,0.140825
2026-04-12T15:28:52.535389,241.5334,0.050193,3.010514,0.140825
2026-04-12T15:28:52.535463,241.5334,0.050193,3.010514,0.14116
2026-04-12T15:28:52.535495,241.5334,0.025097,3.010514,0.14116
2026-04-12T15:28:52.974029,241.5334,0.025097,3.010514,0.14116
2026-04-12T15:28:52.974094,241.5334,0.025097,3.010514,0.141494
2026-04-12T15:28:53.314165,241.5334,0.025097,3.010514,0.141494
2026-04-12T15:28:53.314244,241.5334,0.025097,3.010514,0.141494
2026-04-12T15:28:53.314293,241.5334,0.025097,3.010514,0.141829
2026-04-12T15:28:53.414601,241.5334,0.050193,3.010514,0.141829
2026-04-12T15:28:53.414674,241.5334,0.050193,3.010514,0.141829
2026-04-12T15:28:53.746263,241.5334,0.050193,3.010514,0.142163
2026-04-12T15:28:53.746347,241.5334,0.025097,3.010514,0.142163
2026-04-12T15:28:53.746377,241.5334,0.025097,3.010514,0.142163
2026-04-12T15:28:54.189087,241.5334,0.025097,3.010514,0.142498
2026-04-12T15:28:54.189822,241.5334,0.025097,3.010514,0.142498
2026-04-12T15:28:54.623118,241.5334,0.025097,3.010514,0.142498
2026-04-12T15:28:54.623245,241.5334,0.025097,3.010514,0.142832
2026-04-12T15:28:54.623305,241.5334,0.025097,3.010514,0.142832
2026-04-12T15:28:54.965475,241.5334,0.025097,3.010514,0.143167
2026-04-12T15:28:54.965659,239.9443,0.025097,3.010514,0.143167
2026-04-12T15:28:55.740765,239.9443,0.025097,3.010514,0.143167
2026-04-12T15:28:55.740837,239.9443,0.025097,3.010514,0.143501
2026-04-12T15:28:55.859165,238.6731,0.025097,3.010514,0.143501
2026-04-12T15:28:55.859244,238.6731,0.025097,3.010514,0.143501
2026-04-12T15:28:55.859274,238.6731,0.025097,3.010514,0.143836
2026-04-12T15:28:55.859364,237.8786,0.025097,3.010514,0.143836
2026-04-12T15:28:55.859396,237.8786,0.025097,3.010514,0.143836
2026-04-12T15:28:56.173269,237.8786,0.025097,3.010514,0.14417
2026-04-12T15:28:56.173348,237.4019,0.025097,3.010514,0.14417
2026-04-12T15:28:56.173377,237.4019,0.025097,3.010514,0.14417
2026-04-12T15:28:56.708592,237.4019,0.025097,3.010514,0.144505
2026-04-12T15:28:56.708665,238.9909,0.025097,3.010514,0.144505
2026-04-12T15:28:57.046210,238.9909,0.025097,3.010514,0.144505
2026-04-12T15:28:57.046282,238.9909,0.025097,3.010514,0.144839
2026-04-12T15:28:57.046310,238.9909,0.025097,3.010514,0.144839
2026-04-12T15:28:57.368884,238.9909,0.025097,3.010514,0.145174
2026-04-12T15:28:57.368978,238.9909,0.07529,3.010514,0.145174
2026-04-12T15:28:57.819242,238.9909,0.07529,0.0,0.145174
2026-04-12T15:28:57.819316,238.9909,0.07529,0.0,0.145174
2026-04-12T15:28:57.819362,238.9909,0.100387,0.0,0.145174
2026-04-12T15:28:58.257340,238.9909,0.100387,6.021027,0.145174
2026-04-12T15:28:58.257422,238.9909,0.100387,6.021027,0.145843
2026-04-12T15:28:58.584182,238.9909,0.100387,6.021027,0.145843
2026-04-12T15:28:58.584249,238.9909,0.100387,9.031541,0.145843
2026-04-12T15:28:58.584270,238.9909,0.100387,9.031541,0.146846
2026-04-12T15:28:58.584335,238.9909,0.100387,9.031541,0.146846
2026-04-12T15:28:58.584356,238.9909,0.100387,6.021027,0.146846
2026-04-12T15:28:59.245230,238.9909,0.100387,6.021027,0.147515
2026-04-12T15:28:59.245304,238.9909,0.100387,6.021027,0.147515
2026-04-12T15:28:59.245332,238.9909,0.100387,12.04205,0.147515
2026-04-12T15:28:59.907567,238.9909,0.100387,12.04205,0.148853
2026-04-12T15:28:59.907639,238.9909,0.100387,9.031541,0.148853
